,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Proximates Fiber, total dietary g","Minerals Calcium, Ca mg","Minerals Iron, Fe mg","Minerals Sodium, Na mg","Vitamins Vitamin C, total ascorbic acid mg","Lipids Fatty acids, total saturated g",Lipids 12:0 g,Lipids 14:0 g,Lipids 16:0 g,Lipids 18:0 g,"Lipids Fatty acids, total monounsaturated g",Lipids 16:1 undifferentiated g,Lipids 18:1 undifferentiated g,"Lipids Fatty acids, total polyunsaturated g",Lipids 18:2 undifferentiated g,Lipids 18:3 undifferentiated g,Lipids 20:4 undifferentiated g,Lipids Cholesterol mg
Beef_New_Zealand_imported_variety_meats_and_by-products_heart_raw,78.07,105.0,438.0,18.52,3.4,1.02,0.0,0.0,4.0,4.38,86.0,0.0,0.857,0.001,0.019,0.322,0.471,0.533,0.041,0.478,0.579,0.259,0.065,0.111,124.0
"Beef_brisket_flat_half_boneless_separable_lean_and_fat_trimmed_to_0""_fat_all_grades_raw",69.89,165.0,690.0,20.32,9.29,0.98,0.0,0.0,13.0,2.0,80.0,0.0,3.592,0.0,0.259,2.02,1.204,4.586,0.343,4.081,0.393,0.338,0.009,0.041,67.0
"Beef_round_tip_round_roast_separable_lean_and_fat_trimmed_to_0""_fat_select_raw",72.62,145.0,609.0,20.8,6.28,1.01,0.0,0.0,23.0,1.59,58.0,0.0,2.489,0.014,0.195,1.504,0.757,2.699,0.314,2.375,0.247,0.162,0.076,0.01,61.0
Beef_New_Zealand_imported_chuck_eye_roll_separable_lean_and_fat_raw,68.67,181.0,755.0,19.38,11.45,0.87,0.0,0.0,6.0,1.89,53.0,0.0,4.437,0.006,0.254,2.21,1.791,4.042,0.312,3.661,0.377,0.199,0.092,0.024,61.0
"Beef_round_eye_of_round_steak_boneless_separable_lean_only_trimmed_to_0""_fat_choice_raw",73.18,124.0,518.0,23.35,3.38,1.1,0.0,0.0,13.0,1.47,52.0,0.0,1.137,0.002,0.072,0.666,0.346,1.353,0.107,1.191,0.248,0.176,0.007,0.038,58.0
"Beef_rib_eye_steakslashroast_bone-in_lip-on_separable_lean_only_trimmed_to_1slash8""_fat_choice_raw",68.58,173.0,726.0,20.93,9.97,0.95,0.0,0.0,9.0,1.95,65.0,0.0,3.88,0.006,0.257,2.187,1.248,4.531,0.322,4.012,0.464,0.383,0.009,0.048,65.0
Beef_New_Zealand_imported_flank_separable_lean_only_raw,73.62,142.0,595.0,20.53,6.67,0.96,0.0,0.0,4.0,1.57,47.0,0.0,2.299,0.003,0.137,1.309,0.763,2.121,0.181,1.895,0.179,0.08,0.039,0.017,49.0
"Beef_chuck_arm_pot_roast_separable_lean_and_fat_trimmed_to_1slash8""_fat_choice_raw",61.78,249.0,1043.0,19.14,18.57,0.87,0.0,0.0,16.0,1.73,63.0,0.0,7.492,0.04,0.587,4.511,2.295,7.95,0.905,7.018,0.706,0.454,0.222,0.03,89.0
"Beef_chuck_clod_roast_separable_lean_only_trimmed_to_1slash4""_fat_all_grades_raw",73.41,129.0,540.0,19.63,5.02,1.17,0.0,0.0,6.0,2.35,64.0,0.0,1.414,0.0,0.082,0.851,0.471,1.965,0.096,1.839,0.286,0.218,0.022,0.046,59.0
"Beef_rib_small_end_(ribs_10-12)_separable_lean_and_fat_trimmed_to_1slash8""_fat_all_grades_raw",61.05,254.0,1065.0,19.33,19.06,0.9,0.0,0.0,23.0,1.39,49.0,0.0,7.692,0.041,0.603,4.631,2.356,8.162,0.93,7.206,0.725,0.467,0.228,0.031,81.0
"Beef_shoulder_top_blade_steak_boneless_separable_lean_and_fat_trimmed_to_0""_fat_all_grades_raw",71.89,146.0,610.0,20.16,7.25,1.09,0.0,0.0,12.0,2.49,82.0,0.0,3.153,0.0,0.199,1.757,1.092,3.771,0.244,3.411,0.415,0.347,0.01,0.054,69.0
"Beef_rib_whole_(ribs_6-12)_separable_lean_and_fat_trimmed_to_1slash8""_fat_select_raw",57.48,288.0,1205.0,16.75,23.95,0.79,0.0,0.0,9.0,1.77,55.0,0.0,9.88,0.06,0.79,5.94,3.01,10.32,1.22,9.07,0.86,0.55,0.3,0.02,70.0
"Beef_chuck_arm_pot_roast_separable_lean_and_fat_trimmed_to_1slash8""_fat_select_raw",62.88,239.0,1001.0,19.33,17.39,0.85,0.0,0.0,18.0,1.61,62.0,0.0,7.016,0.037,0.55,4.224,2.149,7.444,0.848,6.572,0.661,0.425,0.208,0.028,93.0
Beef_ground_97%_lean_meat_slash_3%_fat_raw,74.75,121.0,506.0,21.98,3.0,1.07,0.0,0.0,8.0,2.44,66.0,0.0,1.48,0.004,0.063,0.748,0.614,1.134,0.078,0.092,0.222,0.154,0.033,0.035,60.0
Beef_New_Zealand_imported_brisket_point_end_separable_lean_and_fat_raw,70.11,163.0,683.0,20.05,9.23,0.9,0.0,0.0,5.0,1.94,49.0,0.0,3.685,0.006,0.223,1.917,1.392,3.768,0.342,3.346,0.359,0.185,0.081,0.03,55.0
"Beef_shoulder_pot_roast_or_steak_boneless_separable_lean_only_trimmed_to_0""_fat_select_raw",73.51,121.0,506.0,21.93,3.7,1.12,0.0,0.0,12.0,2.57,71.0,0.0,1.53,0.0,0.101,0.869,0.506,1.85,0.128,1.665,0.28,0.238,0.0,0.042,68.0
"Beef_composite_of_trimmed_retail_cuts_separable_lean_and_fat_trimmed_to_1slash8""_fat_select_raw",61.88,192.0,802.0,19.06,12.4,0.92,0.0,0.0,17.0,1.52,51.0,0.0,5.219,0.018,0.38,2.972,1.701,5.621,0.513,4.991,0.535,0.41,0.083,0.029,68.0
"Beef_chuck_eye_roast_boneless_America's_Beef_Roast_separable_lean_and_fat_trimmed_to_0""_fat_all_grades_raw",68.8,180.0,753.0,19.18,11.48,0.97,0.0,0.0,17.0,2.08,81.0,0.0,5.042,0.0,0.337,2.689,1.855,5.837,0.345,5.308,0.526,0.457,0.023,0.04,69.0
"Beef_loin_tenderloin_steak_boneless_separable_lean_and_fat_trimmed_to_0""_fat_choice_raw",71.3,150.0,628.0,21.57,7.1,1.1,0.0,0.0,14.0,2.53,44.0,0.0,2.548,0.005,0.167,1.415,0.841,2.813,0.202,2.504,0.485,0.379,0.014,0.059,60.0
"Beef_chuck_shoulder_clod_top_blade_steak_separable_lean_and_fat_trimmed_to_0""_fat_select_raw",71.19,166.0,694.0,19.38,9.22,0.94,0.0,0.0,6.0,2.62,75.0,0.0,3.464,0.0,0.257,1.931,1.135,3.616,0.234,3.316,0.498,0.415,0.019,0.064,66.0
"Beef_round_knuckle_tip_center_steak_separable_lean_and_fat_trimmed_to_0""_fat_select_raw",72.72,137.0,574.0,20.98,5.21,0.92,0.0,0.0,5.0,2.01,53.0,0.0,1.89,0.0,0.15,1.129,0.523,2.014,0.157,1.81,0.295,0.239,0.012,0.044,59.0
Beef_grass-fed_ground_raw,67.13,198.0,828.0,19.42,12.73,1.71,0.0,0.0,12.0,1.99,68.0,0.0,5.335,0.009,0.345,2.747,1.98,4.8,0.347,4.363,0.532,0.426,0.071,0.012,62.0
"Beef_rib_back_ribs_bone-in_separable_lean_and_fat_trimmed_to_0""_fat_select_raw",55.67,305.0,1278.0,16.75,26.23,0.75,0.6,0.0,10.0,1.66,52.0,0.0,11.663,0.021,0.781,6.108,4.191,12.698,0.859,11.346,1.1,0.963,0.046,0.044,73.0
Beef_New_Zealand_imported_cube_roll_separable_lean_only_raw,69.43,161.0,675.0,19.77,8.51,0.91,1.38,0.0,3.0,2.09,45.0,0.0,3.689,0.004,0.203,1.857,1.49,3.054,0.238,2.762,0.261,0.108,0.07,0.02,59.0
"Beef_round_top_round_roast_boneless_separable_lean_only_trimmed_to_0""_fat_all_grades_raw",72.96,121.0,505.0,23.59,2.94,1.12,0.0,0.0,13.0,2.34,54.0,0.0,1.12,0.002,0.065,0.643,0.361,1.292,0.089,1.158,0.223,0.157,0.004,0.035,62.0
"Beef_loin_tenderloin_roast_boneless_separable_lean_and_fat_trimmed_to_0""_fat_all_grades_raw",71.5,149.0,623.0,21.67,6.93,1.09,0.0,0.0,14.0,2.48,44.0,0.0,2.479,0.005,0.163,1.362,0.832,2.695,0.19,2.402,0.463,0.362,0.014,0.056,61.0
"Beef_loin_top_sirloin_cap_steak_boneless_separable_lean_only_trimmed_to_1slash8""_fat_choice_raw",72.52,138.0,576.0,21.34,5.82,0.99,0.0,0.0,5.0,2.08,60.0,0.0,2.08,0.003,0.116,1.186,0.714,2.536,0.155,2.315,0.195,0.156,0.009,0.029,67.0
"Beef_chuck_eye_roast_boneless_America's_Beef_Roast_separable_lean_and_fat_trimmed_to_0""_fat_select_raw",69.61,173.0,724.0,19.25,10.67,0.95,0.0,0.0,18.0,2.12,82.0,0.0,4.998,0.0,0.331,2.653,1.852,5.732,0.336,5.219,0.525,0.455,0.023,0.041,73.0
"Beef_loin_tenderloin_roast_boneless_separable_lean_only_trimmed_to_0""_fat_all_grades_raw",72.44,139.0,583.0,21.94,5.74,1.11,0.0,0.0,13.0,2.5,44.0,0.0,1.956,0.004,0.125,1.078,0.655,2.122,0.145,1.899,0.42,0.321,0.012,0.056,61.0
"Beef_chuck_eye_Country-Style_ribs_boneless_separable_lean_and_fat_trimmed_to_0""_fat_all_grades_raw",66.33,205.0,857.0,18.97,14.32,0.88,0.0,0.0,14.0,2.1,77.0,0.0,6.154,0.0,0.425,3.288,2.243,6.957,0.424,6.304,0.605,0.532,0.03,0.036,70.0
"Beef_chuck_short_ribs_boneless_separable_lean_and_fat_trimmed_to_0""_fat_all_grades_raw",63.84,235.0,983.0,17.48,18.33,0.84,0.0,0.0,12.0,2.24,78.0,0.0,7.979,0.0,0.555,4.266,2.893,9.206,0.561,8.331,0.726,0.641,0.035,0.041,75.0
"Beef_rib_small_end_(ribs_10-12)_separable_lean_only_trimmed_to_1slash8""_fat_select_raw",72.9,134.0,561.0,22.53,4.2,1.06,0.0,0.0,22.0,1.59,55.0,0.0,1.553,0.0,0.106,0.932,0.515,1.69,0.13,1.558,0.182,0.146,0.009,0.026,73.0
"Beef_shoulder_top_blade_steak_boneless_separable_lean_only_trimmed_to_0""_fat_choice_raw",71.79,143.0,599.0,20.35,6.88,1.0,0.0,0.0,12.0,2.52,82.0,0.0,2.9,0.0,0.178,1.631,0.995,3.57,0.233,3.227,0.37,0.306,0.008,0.054,68.0
USDA_Commodity_beef_ground_bulkslashcoarse_ground_frozen_raw,65.81,228.0,954.0,17.37,17.07,0.86,0.0,0.0,7.0,1.69,57.0,0.0,6.813,0.02,0.47,3.912,2.041,7.413,0.68,6.403,0.71,0.053,0.07,0.08,69.0
"Beef_chuck_under_blade_center_steak_boneless_Denver_Cut_separable_lean_only_trimmed_to_0""_fat_all_grades_raw",69.19,170.0,709.0,19.42,9.99,0.91,0.49,0.0,11.0,2.42,77.0,0.0,4.132,0.0,0.265,2.237,1.488,4.889,0.314,4.41,0.526,0.456,0.018,0.052,69.0
Beef_chuck_for_stew_separable_lean_and_fat_choice_raw,72.32,130.0,545.0,21.64,4.81,1.11,0.12,0.0,13.0,2.09,79.0,0.0,1.988,0.0,0.121,1.092,0.71,2.51,0.173,2.26,0.31,0.255,0.005,0.048,63.0
"Beef_tenderloin_steak_separable_lean_and_fat_trimmed_to_1slash8""_fat_choice_raw",61.69,246.0,1029.0,19.82,17.88,0.94,0.0,0.0,25.0,1.43,50.0,0.0,7.214,0.038,0.565,4.343,2.21,7.655,0.872,6.758,0.68,0.438,0.214,0.029,85.0
Beef_Australian_imported_grass-fed_round_top_round_cap-off_steakslashroast_boneless_separable_lean_and_fat_raw,72.52,129.0,538.0,22.24,4.4,1.09,0.0,0.0,5.0,2.28,59.0,0.0,1.77,0.005,0.092,0.982,0.606,1.846,0.11,1.713,0.291,0.156,0.038,0.047,47.0
"Beef_rib_back_ribs_bone-in_separable_lean_and_fat_trimmed_to_0""_fat_all_grades_raw",53.91,324.0,1354.0,16.15,28.42,0.73,0.78,0.0,10.0,1.63,53.0,0.0,12.643,0.023,0.838,6.637,4.535,13.811,0.93,12.353,1.171,1.031,0.049,0.046,75.0
"Beef_bottom_sirloin_tri-tip_roast_separable_lean_only_trimmed_to_0""_fat_select_raw",73.48,129.0,540.0,21.34,4.21,1.1,0.0,0.0,22.0,1.55,54.0,0.0,1.5,0.0,0.093,0.95,0.458,2.144,0.145,1.999,0.203,0.162,0.017,0.023,59.0
"Beef_chuck_under_blade_pot_roast_or_steak_boneless_separable_lean_only_trimmed_to_0""_fat_choice_raw",70.82,145.0,606.0,21.19,6.51,1.08,0.39,0.0,12.0,2.27,80.0,0.0,2.76,0.0,0.185,1.584,0.903,3.24,0.239,2.887,0.32,0.271,0.004,0.044,65.0
"Beef_brisket_flat_half_separable_lean_only_trimmed_to_1slash8""_fat_choice_raw",73.27,129.0,541.0,21.69,4.06,1.01,0.0,0.0,15.0,2.04,75.0,0.0,1.508,0.003,0.107,0.902,0.496,1.705,0.148,1.553,0.176,0.141,0.014,0.021,65.0
"Beef_plate_steak_boneless_inside_skirt_separable_lean_only_trimmed_to_0""_fat_all_grades_raw",69.5,164.0,687.0,21.17,8.82,0.95,0.0,0.0,6.0,1.75,66.0,0.0,3.233,0.006,0.214,1.842,1.023,3.943,0.294,3.467,0.442,0.35,0.01,0.053,64.0
"Beef_round_top_round_steak_separable_lean_and_fat_trimmed_to_1slash8""_fat_choice_raw",68.8,168.0,701.0,21.94,8.19,1.11,0.0,0.0,17.0,1.97,57.0,0.0,3.224,0.018,0.251,1.967,0.962,3.538,0.417,3.11,0.313,0.204,0.093,0.016,69.0
"Beef_chuck_eye_roast_boneless_America's_Beef_Roast_separable_lean_only_trimmed_to_0""_fat_all_grades_raw",72.48,137.0,571.0,20.61,6.01,1.03,0.0,0.0,18.0,2.18,85.0,0.0,2.55,0.0,0.146,1.381,0.938,3.11,0.18,2.841,0.31,0.262,0.01,0.037,69.0
"Beef_loin_tenderloin_steak_boneless_separable_lean_and_fat_trimmed_to_0""_fat_select_raw",72.31,142.0,594.0,21.95,6.02,1.09,0.0,0.0,14.0,2.47,42.0,0.0,2.087,0.005,0.136,1.128,0.719,2.224,0.153,1.988,0.407,0.313,0.012,0.051,62.0
"Beef_round_bottom_round_steak_separable_lean_and_fat_trimmed_to_1slash8""_fat_all_grades_raw",66.88,192.0,805.0,20.7,11.54,1.01,0.0,0.0,20.0,1.74,56.0,0.0,4.544,0.025,0.353,2.772,1.356,4.987,0.587,4.383,0.441,0.287,0.131,0.023,73.0
"Beef_round_top_round_steak_separable_lean_and_fat_trimmed_to_1slash8""_fat_select_raw",69.29,164.0,686.0,22.18,7.68,1.08,0.0,0.0,25.0,1.74,63.0,0.0,3.023,0.017,0.235,1.844,0.902,3.317,0.391,2.916,0.293,0.191,0.087,0.015,68.0
"Beef_ribeye__petite_roastslashfilet_boneless_separable_lean_only_trimmed_to_0""_fat_select_raw",72.46,125.0,523.0,22.89,3.72,1.11,0.0,0.0,5.0,2.17,57.0,0.0,1.265,0.001,0.093,0.785,0.338,1.757,0.103,1.6,0.152,0.121,0.007,0.025,65.0
Beef_Australian_imported_Wagyu_loin_top_loin_steakslashroast_separable_lean_and_fat_Aust._marble_score_9_raw,47.68,392.0,1640.0,14.58,36.98,0.61,0.22,0.0,4.0,1.54,61.0,0.0,12.765,0.021,0.977,7.987,3.313,19.457,1.603,17.348,1.333,1.166,0.101,0.037,68.0
"Beef_chuck_under_blade_center_steak_boneless_Denver_Cut_separable_lean_and_fat_trimmed_to_0""_fat_choice_raw",67.31,189.0,792.0,18.85,12.4,0.9,0.53,0.0,11.0,2.37,75.0,0.0,5.137,0.0,0.337,2.76,1.866,6.04,0.385,5.449,0.617,0.536,0.024,0.056,70.0
"Beef_round_eye_of_round_steak_boneless_separable_lean_only_trimmed_to_0""_fat_all_grades_raw",73.43,121.0,506.0,23.37,3.04,1.1,0.0,0.0,13.0,1.45,53.0,0.0,1.086,0.002,0.07,0.631,0.335,1.266,0.098,1.116,0.233,0.162,0.006,0.036,60.0
"Beef_shoulder_top_blade_steak_boneless_separable_lean_and_fat_trimmed_to_0""_fat_select_raw",73.04,137.0,573.0,20.28,6.21,1.24,0.0,0.0,12.0,2.49,86.0,0.0,2.69,0.0,0.169,1.498,0.931,3.118,0.203,2.823,0.391,0.331,0.01,0.049,71.0
"Beef_brisket_flat_half_boneless_separable_lean_only_trimmed_to_0""_fat_select_raw",73.43,124.0,520.0,21.74,4.14,1.07,0.0,0.0,13.0,2.08,85.0,0.0,1.58,0.0,0.105,0.936,0.489,2.3,0.185,2.036,0.23,0.192,0.0,0.037,69.0
Beef_variety_meats_and_by-products_heart_raw,77.11,112.0,467.0,17.72,3.94,1.1,0.14,0.0,7.0,4.31,98.0,2.0,1.383,0.0,0.067,0.621,0.623,1.137,0.059,1.06,0.546,0.395,0.016,0.128,124.0
"Beef_round_outside_round_bottom_round_steak_separable_lean_and_fat_trimmed_to_0""_fat_choice_raw",71.51,150.0,628.0,21.24,6.59,1.04,0.0,0.0,5.0,2.34,63.0,0.0,2.301,0.0,0.176,1.428,0.594,2.94,0.28,2.595,0.309,0.25,0.0,0.06,61.0
Beef_New_Zealand_imported_oyster_blade_separable_lean_and_fat_raw,69.48,178.0,744.0,21.27,10.31,0.87,0.0,0.0,4.0,1.89,57.0,0.0,3.815,0.006,0.217,1.952,1.484,3.583,0.274,3.252,0.328,0.169,0.078,0.021,56.0
"Beef_chuck_under_blade_center_steak_boneless_Denver_Cut_separable_lean_and_fat_trimmed_to_0""_fat_select_raw",69.3,172.0,718.0,19.2,10.5,0.91,0.09,0.0,11.0,2.38,76.0,0.0,4.37,0.0,0.293,2.365,1.568,5.047,0.32,4.558,0.522,0.457,0.018,0.046,68.0
"Beef_round_bottom_round_roast_separable_lean_only_trimmed_to_1slash8""_fat_choice_raw",71.99,140.0,584.0,22.22,4.96,1.06,0.0,0.0,19.0,2.06,56.0,0.0,1.699,0.0,0.117,1.077,0.505,2.09,0.204,1.882,0.213,0.166,0.012,0.035,62.0
"Beef_plate_steak_boneless_outside_skirt_separable_lean_only_trimmed_to_0""_fat_select_raw",66.22,198.0,830.0,19.14,13.44,0.97,0.23,0.0,6.0,3.8,65.0,0.0,5.349,0.008,0.322,2.739,2.045,5.659,0.312,5.107,0.718,0.58,0.022,0.075,69.0
"Beef_rib_eye_steak_boneless_lip_off_separable_lean_and_fat_trimmed_to_0""_fat_all_grades_raw",63.02,228.0,954.0,19.26,16.71,0.88,0.12,0.0,8.0,1.81,52.0,0.0,7.363,0.013,0.491,3.909,2.59,7.88,0.518,7.074,0.794,0.689,0.022,0.05,68.0
"Beef_composite_of_trimmed_retail_cuts_separable_lean_and_fat_trimmed_to_1slash8""_fat_all_grades_raw",64.81,214.0,895.0,20.01,14.42,0.96,0.0,0.0,17.0,1.69,52.0,0.0,6.036,0.021,0.437,3.43,1.971,6.497,0.585,5.772,0.617,0.476,0.092,0.034,72.0
Beef_Australian_imported_Wagyu_rib_small_end_rib_steakslashroast_boneless_separable_lean_only_Aust._marble_score_4slash5_raw,61.92,234.0,978.0,20.35,16.93,0.91,0.0,0.0,4.0,1.89,58.0,0.0,6.536,0.011,0.474,3.998,1.769,8.451,0.67,7.6,0.523,0.434,0.034,0.039,72.0
"Beef_loin_top_loin_steak_boneless_lip_off_separable_lean_and_fat_trimmed_to_0""_fat_choice_raw",67.82,171.0,716.0,22.19,9.16,0.98,0.0,0.0,15.0,1.91,45.0,0.0,3.79,0.008,0.257,2.155,1.203,4.328,0.329,3.84,0.505,0.412,0.015,0.049,59.0
"Beef_round_eye_of_round_roast_separable_lean_only_trimmed_to_1slash8""_fat_all_grades_raw",73.43,124.0,517.0,22.6,3.0,1.08,0.0,0.0,20.0,1.96,60.0,0.0,1.027,0.0,0.071,0.651,0.305,1.263,0.124,1.138,0.129,0.101,0.007,0.021,59.0
"Beef_round_tip_round_roast_separable_lean_only_trimmed_to_0""_fat_choice_raw",73.98,130.0,543.0,20.76,4.55,1.02,0.0,0.0,18.0,1.92,52.0,0.0,1.556,0.0,0.108,0.946,0.503,1.855,0.156,1.7,0.227,0.18,0.012,0.036,58.0
"Beef_rib_whole_(ribs_6-12)_separable_lean_and_fat_trimmed_to_1slash8""_fat_prime_raw",51.51,355.0,1485.0,16.15,31.66,0.76,0.0,0.0,9.0,1.7,53.0,0.0,13.22,0.07,1.03,7.82,3.99,13.77,1.57,11.97,1.15,0.75,0.37,0.03,72.0
"Beef_tenderloin_steak_separable_lean_and_fat_trimmed_to_1slash8""_fat_select_raw",61.33,249.0,1043.0,19.37,18.46,0.9,0.0,0.0,22.0,1.42,50.0,0.0,7.451,0.04,0.584,4.486,2.282,7.906,0.9,6.979,0.702,0.452,0.221,0.03,86.0
"Beef_brisket_flat_half_separable_lean_and_fat_trimmed_to_1slash8""_fat_choice_raw",58.8,278.0,1162.0,18.12,22.15,0.82,0.12,0.0,15.0,1.68,61.0,0.0,8.939,0.047,0.7,5.382,2.738,9.485,1.08,8.374,0.843,0.542,0.265,0.036,91.0
"Beef_flank_steak_separable_lean_only_trimmed_to_0""_fat_all_grades_raw",72.08,141.0,592.0,21.57,5.47,1.02,0.0,0.0,24.0,1.57,55.0,0.0,2.058,0.007,0.14,1.325,0.579,1.951,0.167,1.778,0.193,0.12,0.047,0.027,62.0
"Beef_chuck_shoulder_clod_shoulder_top_and_center_steaks_separable_lean_and_fat_trimmed_to_0""_fat_select_raw",72.54,140.0,585.0,21.13,5.51,0.88,0.0,0.0,4.0,2.64,58.0,0.0,1.791,0.0,0.126,1.025,0.572,1.933,0.132,1.762,0.341,0.277,0.011,0.053,58.0
Beef_Australian_imported_Wagyu_rib_small_end_rib_steakslashroast_boneless_separable_lean_only_Aust._marble_score_9_raw,52.58,330.0,1380.0,17.61,28.61,0.73,0.46,0.0,4.0,2.14,65.0,0.0,11.123,0.017,0.863,7.071,2.776,14.343,1.135,12.842,0.789,0.675,0.054,0.041,77.0
"Beef_brisket_whole_separable_lean_and_fat_trimmed_to_1slash8""_fat_all_grades_raw",61.08,251.0,1050.0,18.42,19.06,0.88,0.0,0.0,6.0,1.7,69.0,0.0,7.53,0.04,0.62,4.59,2.22,8.52,1.0,7.49,0.66,0.42,0.21,0.03,68.0
"Beef_round_eye_of_round_steak_boneless_separable_lean_and_fat_trimmed_to_0""_fat_all_grades_raw",73.07,124.0,520.0,23.26,3.48,1.09,0.0,0.0,13.0,1.45,53.0,0.0,1.285,0.002,0.084,0.739,0.401,1.49,0.116,1.312,0.251,0.179,0.007,0.036,60.0
Beef_New_Zealand_imported_hind_shin_separable_lean_only_raw,74.57,114.0,477.0,21.46,3.12,0.99,0.0,0.0,4.0,2.04,63.0,0.0,0.881,0.001,0.044,0.517,0.284,1.257,0.101,1.136,0.146,0.066,0.029,0.017,56.0
"Beef_chuck_arm_pot_roast_separable_lean_only_trimmed_to_1slash8""_fat_choice_raw",72.51,139.0,583.0,21.96,5.05,1.02,0.0,0.0,15.0,2.02,74.0,0.0,1.875,0.004,0.133,1.121,0.616,2.119,0.184,1.931,0.232,0.176,0.017,0.026,65.0
"Beef_composite_of_trimmed_retail_cuts_separable_lean_and_fat_trimmed_to_1slash8""_fat_choice_raw",63.98,222.0,929.0,19.79,15.42,0.94,0.0,0.0,17.0,1.73,50.0,0.0,6.43,0.022,0.464,3.657,2.1,6.92,0.623,6.148,0.655,0.504,0.099,0.036,72.0
"Beef_round_tip_round_separable_lean_and_fat_trimmed_to_1slash8""_fat_all_grades_raw",66.1,189.0,791.0,19.6,11.67,0.95,0.0,0.0,5.0,2.0,58.0,0.0,4.6,0.02,0.36,2.78,1.4,5.0,0.57,4.41,0.46,0.31,0.13,0.02,65.0
"Beef_short_loin_t-bone_steak_separable_lean_and_fat_trimmed_to_1slash8""_fat_all_grades_raw",64.06,223.0,932.0,20.11,15.18,0.92,0.0,0.0,21.0,1.64,40.0,0.0,6.495,0.012,0.452,3.577,2.171,7.07,0.531,6.27,0.698,0.593,0.028,0.039,62.0
Beef_New_Zealand_imported_striploin_separable_lean_only_raw,70.41,150.0,626.0,20.93,7.0,0.91,0.74,0.0,4.0,1.61,47.0,0.0,2.488,0.004,0.168,1.438,0.789,2.814,0.268,2.476,0.243,0.11,0.056,0.02,54.0
Beef_ground_70%_lean_meat_slash_30%_fat_raw,54.3,332.0,1389.0,14.35,30.0,0.7,0.0,0.0,24.0,1.64,66.0,0.0,11.754,0.02,0.918,6.463,3.448,14.171,1.105,1.82,0.697,0.577,0.084,0.035,78.0
Beef_Australian_imported_grass-fed_round_top_round_cap-off_steakslashroast_boneless_separable_lean_only_raw,73.05,129.0,542.0,22.41,4.43,1.09,0.0,0.0,5.0,2.3,60.0,0.0,1.783,0.005,0.092,0.989,0.611,1.86,0.111,1.726,0.293,0.158,0.039,0.047,48.0
